"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","DragAndDropWithMethod()","","Tue Jun 17 23:45:58 GMT 2025","skipped","Tue Jun 17 23:45:58 GMT 2025","","tests.basics.DragAndDrop","tests.basics.DragAndDrop","DragAndDropWithMethod"
"","0","DragAndDropWithActions()","","Tue Jun 17 23:45:58 GMT 2025","skipped","Tue Jun 17 23:45:58 GMT 2025","","tests.basics.DragAndDrop","tests.basics.DragAndDrop","DragAndDropWithActions"
"","3816","testAnnotatedStep()","","Tue Jun 17 23:46:13 GMT 2025","passed","Tue Jun 17 23:46:17 GMT 2025","","tests.basics.StepsTest","tests.basics.StepsTest","testAnnotatedStep"
"","3580","formFill()","","Tue Jun 17 23:45:58 GMT 2025","passed","Tue Jun 17 23:46:01 GMT 2025","","tests.basics.PracticeFormFill","tests.basics.PracticeFormFill","formFill"
"","6","secondTest()","","Tue Jun 17 23:45:58 GMT 2025","passed","Tue Jun 17 23:45:58 GMT 2025","","tests.basics.JUnitExamples","tests.basics.JUnitExamples","secondTest"
"","646","testAnnotatedAttachments()","","Tue Jun 17 23:45:57 GMT 2025","passed","Tue Jun 17 23:45:58 GMT 2025","","tests.basics.AttachmentsTests","tests.basics.AttachmentsTests","testAnnotatedAttachments"
"","3734","Успешная регистрация","","Tue Jun 17 23:45:53 GMT 2025","passed","Tue Jun 17 23:45:57 GMT 2025","","Тесты на общую форму","tests.PracticeFormWithPageObjects","succecfullRegistrationTest"
"","8325","testLambdaStep()","","Tue Jun 17 23:46:17 GMT 2025","failed","Tue Jun 17 23:46:25 GMT 2025","","tests.basics.StepsTest","tests.basics.StepsTest","testLambdaStep"
"","1635","wikiCheck()","","Tue Jun 17 23:46:12 GMT 2025","passed","Tue Jun 17 23:46:13 GMT 2025","","tests.basics.SelenideWiki","tests.basics.SelenideWiki","wikiCheck"
"","8","firstTest()","","Tue Jun 17 23:45:58 GMT 2025","passed","Tue Jun 17 23:45:58 GMT 2025","","tests.basics.JUnitExamples","tests.basics.JUnitExamples","firstTest"
"","384","testLambdaAttachments()","","Tue Jun 17 23:45:57 GMT 2025","passed","Tue Jun 17 23:45:57 GMT 2025","","tests.basics.AttachmentsTests","tests.basics.AttachmentsTests","testLambdaAttachments"
"","0","enterprisePageAvailable()","","Tue Jun 17 23:45:58 GMT 2025","skipped","Tue Jun 17 23:45:58 GMT 2025","","tests.basics.EnterprisePageCheck","tests.basics.EnterprisePageCheck","enterprisePageAvailable"
"","1975","fillFormTest()","","Tue Jun 17 23:46:25 GMT 2025","passed","Tue Jun 17 23:46:27 GMT 2025","","tests.basics.TextBoxTests","tests.basics.TextBoxTests","fillFormTest"
"","10369","SelenideRepositorySearch()","","Tue Jun 17 23:46:01 GMT 2025","passed","Tue Jun 17 23:46:12 GMT 2025","","tests.basics.SelenideRepositorySearch","tests.basics.SelenideRepositorySearch","SelenideRepositorySearch"
"","0","bestContributor()","","Tue Jun 17 23:45:58 GMT 2025","skipped","Tue Jun 17 23:45:58 GMT 2025","","tests.basics.BestContributorToSelenide","tests.basics.BestContributorToSelenide","bestContributor"
"","7110","issueSearchTest()","","Tue Jun 17 23:45:46 GMT 2025","passed","Tue Jun 17 23:45:53 GMT 2025","","tests.AllureFirst","tests.AllureFirst","issueSearchTest"
